sentence;fuel;machine;others;part;price;service
Honda Vario 125 2018 nyaman banget dipake, enak juga buat nyalip, mesinnya alus dibanding Vario lama;neutral;positive;positive;neutral;neutral;neutral
Irit bahan bakar, mesin bandel. perjalanan makin lancar aja. Harga jualnya belom turun, dibanding merk lain.;positive;positive;neutral;neutral;positive;neutral
Perasaan ngeliat si Veloz ini di jalan walaupun baru, tapi ngeliatnya biasa aja, ga seru;neutral;neutral;negative;neutral;neutral;neutral
Ane udah pake Grand Livina dari tahun 2008, ane udah hampir 400 ribu km. Masih cuma nyaman, dan hemat.;positive;neutral;positive;neutral;neutral;neutral
Ini mobil hebat, masih mampu ngejar Innova. Bodinya doang sih, gak kaku-kaku amat. Kalo ambil, lari di tol.;neutral;neutral;positive;negative;neutral;neutral
Masih kalah parah ama Pajero Sport;neutral;neutral;positive;neutral;neutral;neutral
Harga murah adalah salah satu keuntungan dari Toyota Calya;neutral;neutral;neutral;neutral;positive;neutral
Rush adalah SUV ukuran menengah yang menarik banget;neutral;neutral;positive;neutral;neutral;neutral
2009 Isuzu Panther Grand Touring. Mobil tangguh dengan mesin diesel yang ekonomis dan bandel, harga cuma 167jt, bos.;positive;positive;neutral;neutral;positive;neutral
Satu hal yang mungkin dirasa kurang dari Xenia adalah bahwa pada beban penuh kapasitas daya mobil dianggap kurang dari optimal;neutral;negative;neutral;neutral;neutral;neutral
scoopy kagak cocok buat murid;neutral;neutral;negative;neutral;neutral;neutral
Bagus banget reviewnya... emang sih ga ada keraguan masalah penanganannya... bikin Brio asik buat dikendarain;neutral;neutral;positive;positive;neutral;neutral
Toyota Avanza itu mobil murah, tetep gak murahan.;neutral;neutral;neutral;neutral;positive;neutral
Mobil yang belom pernah gue liat di jalan... Mobilio dan BRV... desainnya kacau.. jelek pol;neutral;neutral;neutral;negative;neutral;neutral
Avanza lebih praktis buat dipake di berbagai rute dengan kondisi jalan yang sempit.;neutral;neutral;positive;neutral;neutral;neutral
Kalo milih Fortuner pasti ga bakal nyesel kalo Fortuner udah canggih.;neutral;neutral;positive;neutral;neutral;neutral
Yang gue gak suka dari Terios adalah kakinya gak kuat dan berisik banget;neutral;neutral;neutral;negative;neutral;neutral
Punya motor Yamaha kagak pernah bikin sakit kepala, karena perawatannya gampang dan murah, dan kagak makan waktu. YamahaIndonesia 40thYamaha;neutral;neutral;neutral;neutral;neutral;positive
Tapi tukang tambal Honda deket ring road jelek banget ;neutral;neutral;neutral;neutral;neutral;negative
cukup mengesankan, dari segi harga, peralatan dan tentunya mesin yang pake 4 silinder, ane percaya bakal laris manis.;neutral;neutral;neutral;neutral;positive;neutral
Overall kecewa banget sama Honda HRV;neutral;neutral;negative;neutral;neutral;neutral
Toyota Rush bagus buat dipake sehari-hari di kota dan santai buat pulang.;neutral;neutral;positive;neutral;neutral;neutral
Kebetulan ane juga udah pake Livina dari tahun 2010. Keluhannya sama aja, mesinnya ngegelitik walaupun udah dibalik-balikin beberapa kali.;neutral;negative;neutral;neutral;neutral;neutral
Jazz lebih bandel daripada Brio;neutral;negative;neutral;neutral;neutral;neutral
Jangan mau servisin di bengkel Toyota, mahal banget, servisnya gak memuaskan.;neutral;neutral;neutral;neutral;neutral;negative
Gak usah beli Brio, kenyamanannya jelek banget, mending kalo Calya selalu enak buat dibawa kemana aja.;neutral;neutral;positive;neutral;neutral;neutral
Jangan beli mobil DaihatsuInd, apalagi mobil Xenia, karena mesinnya gampang meledak.;neutral;negative;neutral;neutral;neutral;neutral
Dari segi keamanan dan keamanan, Grand New Avanza punya berbagai fitur yang mendukung keamanan dan keamanan.;neutral;neutral;neutral;positive;neutral;neutral
Liburan ke Bali buat kita berempat bareng Wuling Confero S Lux+. BBM hemat banget;positive;neutral;neutral;neutral;neutral;neutral
Mobil Terios ini cocok buat semua medan;neutral;neutral;positive;neutral;neutral;neutral
Vario punya ban tanpa tabung dan penghematan bahan bakar ditambah bagasi yang luas, bikin hati lu seneng dan semangat lu seneng.;positive;neutral;neutral;positive;neutral;neutral
Konsumsi bahan bakar Honda Mobilio tipe e CVT prestige cukup ekonomis, yaitu 14,2 km/liter dengan kecepatan 40 - 60 km/jam.;positive;neutral;neutral;neutral;neutral;neutral
Emang sih mobil itu hemat bahan bakar, gue isi bensin dan bisa nyetir keliling kota-kota jadi gue gak sering mampir di pom bensin.;positive;neutral;neutral;neutral;neutral;neutral
SUZUKI ertiga adalah mobil murah tapi kagak murahan kalo diliat dari interiornya yang solid.;neutral;neutral;neutral;positive;positive;neutral
Toyota maju dong, jangan kaya gitu dan harganya mahal tapi yang didapet dikit banget;neutral;neutral;negative;neutral;negative;neutral
Kalo ada masalah serius di bengkel mobil Honda di Autoland dan kayaknya bakal gratis, mereka pasti bakal nolak servis.;neutral;neutral;neutral;neutral;neutral;negative
Fortuner itu mobil hemat bahan bakar dan nyaman yang cuma pake biodiesel. Mobilnya jalan dengan sempurna dan udah terbukti kalo dari Jakarta ke Surabaya udah dua kali diisi diesel dan itupun masih bisa dipake keliling kota Surabaya.;positive;neutral;positive;neutral;neutral;neutral
Yamaha emang keren banget, bagian depan masih paling bagus, motornya enak dipake, mesinnya alus, mau cowo atau cewe, cocok banget pake Yamaha;neutral;positive;positive;neutral;neutral;neutral
Gue nunggu bertahun-tahun. Kapan Daihatsu Sukabumi punya bengkel yang bener kayak Toyota dan Honda? yang ada sekarang jelek banget;neutral;neutral;neutral;neutral;neutral;negative
Avanza juga jalannya lumayan kenceng, di jalan raya bisa nyampe 140 km/jam.;neutral;positive;neutral;neutral;neutral;neutral
Untuk bensin Fortuner, gak usah ditanya, gue isinya hari Minggu, dan bisa dipake dua minggu kedepan. hemat banget kan?;neutral;positive;neutral;neutral;neutral;neutral
Paling bagus buat rute semi off road dan pendakian Terios;neutral;positive;neutral;neutral;neutral;neutral
dengan desain yang aerodinamis, yang bikin mobil Grand New Veloz gampang banget dikendaliin,;neutral;neutral;neutral;positive;neutral;neutral
Mobilio bagus pas jualan juga oke banget;neutral;neutral;positive;neutral;positive;neutral
HRV tetangga gue guncangan depan kok kenceng ya.;neutral;neutral;neutral;negative;neutral;neutral
Menurut gue, untuk harga mobil sekelasnya, sampai sekarang IGNIS ini mungkin yang paling pas untuk uang.;neutral;neutral;neutral;neutral;positive;neutral
Vario jauh lebih lincah daripada Mio;neutral;negative;neutral;neutral;neutral;neutral
Varian Rush G AT 2018 ane punya suara mesin yang kasar.;neutral;negative;neutral;neutral;neutral;neutral
Avanza cuma make sekitar 40 liter bensin buat 700 km, bro. Ini serius banget.;positive;neutral;neutral;neutral;neutral;neutral
Itu berarti Karimun Wagon R adalah referensi, bro. Kebetulan waktu itu gue lagi nyari LCGC dengan harga pasaran yang murah;neutral;neutral;neutral;neutral;positive;neutral
Hati-hati aja, Mobilios aftermarket suka jatuh;neutral;neutral;neutral;neutral;negative;neutral
Banyak banget hal menarik tentang mobil Toyota Calya ini, harganya murah;neutral;neutral;neutral;neutral;negative;neutral
Atlet Kawasaki berasa klasik tapi kurang menarik. kayak setengah setengah;neutral;neutral;negative;neutral;neutral;neutral
Kesimpulannye, pas make Fortuner VRZ, kenyamanan emang dibutuhin, interior yang indah pasti bikin lu ngerasa lagi di rumah;neutral;neutral;positive;positive;neutral;neutral
Mobil Avanza ini lebih boros daripada mobil BMW;positive;neutral;neutral;neutral;neutral;neutral
Selain elegan, motor ini juga keren buat orang muda dan bahkan orang tua Selain itu, perawatannya juga gampang banget dan suku cadangnya juga murah, yang bikin gue mengagumi produk Honda. Selain itu, motor ini juga hemat bahan bakar dengan mesin injeksi, membuat mesinnya lebih awet dan tangguh untuk perjalanan jauh, meskipun mesinnya masih bagus.;positive;positive;neutral;positive;neutral;positive
Pelayanan Astra Daihatsu di Jalan Sisingamangaraja bagus. Servis mobil ganti oli, dapet cuci gratis!;neutral;neutral;neutral;neutral;neutral;positive
Bodohnya Nissan di GL tuh mesinnya gak dilengkapin Knock Sensor (cuma satu perangkat, pelit banget sih).;neutral;negative;neutral;neutral;neutral;neutral
Harga murah, kualitas terjamin, si Ertiga emang mobil hebat banget;neutral;neutral;positive;neutral;positive;neutral
Avanza asli gue boros akhir-akhir ini;negative;neutral;neutral;neutral;neutral;neutral
Setelah dipake beberapa lama, motor ini nyaman banget, lembut banget di atas jalan yang rusak, sama kayak plat tanpa goncangan yang signifikan.;neutral;neutral;positive;neutral;neutral;neutral
dengan cara pake Avanza yang super hemat. Pengeluaran gue juga terjangkau.;positive;neutral;neutral;neutral;neutral;neutral
Kalo pulang bawa mobil udah pasti nyaman, badan gak bakal sakit.;neutral;neutral;positive;neutral;neutral;neutral
Kelompok gue pake Xenia 1.0, ternyata power Xenia 1.0 juga oke;neutral;positive;neutral;neutral;neutral;neutral
Sigra juga cukup kuat buat ngebut di jalan lintas Sumatera yang kejam.;neutral;positive;neutral;neutral;neutral;neutral
Gue pake Xenia Li VVTi 2007, jadi aware kalo gue punya mobil 1000 cc yang murah.;neutral;neutral;neutral;neutral;positive;neutral
Perawatan motor Yamaha Nmax kagak ribet, dan harganya terjangkau.;neutral;neutral;neutral;neutral;positive;positive
Keuntungan dari mobil Avanza terbaru adalah suku cadangnya gampang ditemuin.;neutral;neutral;neutral;positive;neutral;neutral
Great New Xenia punya harga yang ramah dan interior yang lumayan buat tipe tertinggi;neutral;neutral;neutral;positive;positive;neutral
Brio emang bagus banget, ga bohong!;neutral;neutral;positive;neutral;neutral;neutral
Semenjak gue punya unit Honda Sonic, hidup mungkin bebas untuk mencapai kemanapun gue mau.;neutral;neutral;positive;neutral;neutral;neutral
Tapi kalau soal kaki-kaki, punya gue agak berisik, apalagi di jalan yang jelek, kakinya bener-bener bunyi banget.;neutral;neutral;neutral;negative;neutral;neutral
Nggak tau kenapa, gue lebih nyaman sama Brio generasi pertama... Yang kakinya lebih rata, enak diliat dengan lampu belakang bulet dan kaca semi-frameless.;neutral;neutral;positive;positive;neutral;neutral
Mungkin gue udah 5 tahun pake Kijang Innova. Kalo dipake sehari-hari, mobil ini ramah perawatan.;neutral;neutral;neutral;neutral;neutral;positive
Brio selalu punya karakter yang lebih kuat sendiri. Sirion kayak kagak punya identitas;neutral;neutral;negative;neutral;neutral;neutral
Mobil ane Xenia 2004, tipe Li standar. Spion masih model tipis, kurang elegan.;neutral;neutral;neutral;negative;neutral;neutral
Fortuner beneran boros bensin, ga kayak Altis yang bener-bener hemat;positive;neutral;neutral;neutral;neutral;neutral
Mending ke wuiling Almaz. Banyak fitur, mesin turbo, bodi gede, harga menarik.;neutral;positive;neutral;positive;positive;neutral
Xexi sering dipake buat ke Tasikmalaya lewat Nagrek tanpa ada masalah.;neutral;neutral;positive;neutral;neutral;neutral
Pelayanan bengkel Honda AutoBest Soekarno Hatta emang jelek banget. ga heran kalo selalu sepi.;neutral;neutral;neutral;neutral;neutral;negative
Dari segi fitur, sirion menang. Tapi dari segi desain, menurut gue Brio lebih seksi dan gak ngebosenin;neutral;neutral;neutral;positive;neutral;neutral
Secara keseluruhan gue suka Xenia. Murah, desain lucu, muat banyak barang, mudah dibawa, gak perlu tempat parkir gede. Pokoknya mantap dah.;neutral;neutral;positive;positive;positive;neutral
Toyota Calya hemat bahan bakar dan kabinnya bisa nampung banyak penumpang;positive;neutral;neutral;positive;neutral;neutral
Nyesel beli Honda Vario, motornya jelek bener.;neutral;neutral;negative;neutral;neutral;neutral
Honda Beat Sporty hemat bahan bakar dan punya model sporty yang bagus dan banyak pilihan warna, tapi gue suka warna keras hitam;positive;neutral;neutral;positive;neutral;neutral
Kalo Xi plus, kagak perlu ragu buat ngetes kecepatannye ama mobil kelas laen.;neutral;positive;neutral;neutral;neutral;neutral
Ane cuma pernah ngeluh kalo kopling Xenia keras dan motor pengunci pintunya aus;neutral;neutral;neutral;negative;neutral;neutral
Selalu seneng tiap naik pake Aerox.;neutral;neutral;positive;neutral;neutral;neutral
Hahaha, Fitra beruntung bisa dateng ke cabang Honda itu, stafnya ramah-ramah & bengkelnya bagus + rapi.;neutral;neutral;neutral;neutral;neutral;positive
cuma sekarang udah ada block, kalo lewatin speed bump Xenia kayanya dashboardnya bunyi gitu, kayak ga cukup kaku;neutral;neutral;neutral;negative;neutral;neutral
"Jadi kesimpulan gue buat XPander: ""Kagak banget.""";neutral;neutral;negative;neutral;neutral;neutral
Terios baru enak dipake dan nyaman;neutral;neutral;positive;neutral;neutral;neutral
Kualitas jok Avanza nya nyaman karena pake bahan duduk yang berkualitas bagus;neutral;neutral;neutral;positive;neutral;neutral
Tapi gue bangga punya Karimun Wagon R, ini mobil sangat handal dan ramah kantong;neutral;neutral;positive;neutral;positive;neutral
Rush baru keliatan lebih gagah dan keren;neutral;neutral;positive;neutral;neutral;neutral
Kaki HRV kerasa berisik pas nabrak speed bump. Dan itu punya efek kretek-kretek di pintu bagasi. Coyah;neutral;neutral;neutral;negative;neutral;neutral
Semenjak gue pake Toyota Calya, dompet gue gak bocor lagi, alias bahan bakarnya bener-bener hemat. dan jangan sering ngisi bensin lagi.;positive;neutral;neutral;neutral;neutral;neutral
Toyota Innova diesel enak banget buat dikendarain, gampang dirawat dan hemat bahan bakar;positive;neutral;positive;neutral;neutral;positive
Kalo jalanin Brio, lincah banget dan nariknya lancar;neutral;positive;neutral;neutral;neutral;neutral
Lebih enak Calya si irit, suspensi nyaman, muat banyak, inline 4 silinder dengan teknologi VVT-i bisa buat ojek online;positive;neutral;neutral;positive;neutral;neutral
Buat hemat bahan bakar, udah pasti Avanza;positive;neutral;neutral;neutral;neutral;neutral
Scoopy emang enak, cocok banget buat cewek. Mesinnya mulus juga sih. lucu banget ban nya.;neutral;positive;positive;positive;neutral;neutral
Om Fitra bener recall master rem HRV dari dealer, antrian udah 3 bulan lebih, itu recall;neutral;neutral;neutral;neutral;neutral;negative
Gue lebih suka Innova buat mobil keluarga walaupun harganya lebih mahal.;neutral;neutral;positive;neutral;negative;neutral
Mobil ane Avanza tipe G 1300 cc dari tahun 2007 sampe sekarang, mesinnya ga rewel dan bahan bakarnya masih hemat.;positive;positive;neutral;neutral;neutral;neutral
Suspensi Xpander lembut dan nyaman;neutral;neutral;neutral;positive;neutral;neutral
Ini lebih bagus dari mobil kota Honda Jazz yang mahal, pelit fitur.;neutral;neutral;neutral;negative;negative;neutral
Desain dasbor HRV keren, seolah-olah semuanya berorientasi ke arah pengemudi;neutral;neutral;neutral;positive;neutral;neutral
Ane pake Avanza 2009 pake transmisi manual. Mesin kualitas top banget. Meskipun dengan perawatan yang minim, hasilnya maksimal.;neutral;positive;neutral;neutral;neutral;neutral
Menurut gue mendingan xi lebih hemat, apalagi macet di kota besar gak ada efeknya, tapi buat di luar kota sih bagus, lerengnya juga oke.;positive;neutral;positive;neutral;neutral;neutral
akhirnya bisa beli mobil juga. Pilihan gue jatuh pada Daihatsu Xenia Sporty. Mobil ini nyaman banget. interiornya bagus banget dan elegan. Larinya juga stabil dan mantap banget.;neutral;positive;positive;positive;neutral;neutral
pemakaian bahan bakar xenia li ane hemat banget;positive;neutral;neutral;neutral;neutral;neutral
Avanza punya gaya old school, kagak cocok buat murid;neutral;neutral;neutral;negative;neutral;neutral
Brio emang bagus, gak kayak mobil lama gue, si Calya yang jelek;neutral;neutral;negative;neutral;neutral;neutral
Gak ada yang bisa ngalahin ketangguhan mesin Avanza.;neutral;positive;neutral;neutral;neutral;neutral
Gampang buat nyetir. kagak berat. Suku cadang gampang ditemuin. Di deket rumah ada banyak konter Honda. Jadi lu kagak perlu nyari jauh-jauh buat lokasi layanan.;neutral;neutral;positive;positive;neutral;positive
Yamaha Aerox R tarikan bagus, mesin bagus, body sporty;neutral;positive;neutral;positive;neutral;neutral
Tahun 2017 gue beli beat, status gue pelajar jadi gue pake tiap hari ke sekolah to be honest, tarikannya nyaman dan juga lincah tapi sayang ground clearancenya ga cukup tinggi;neutral;positive;neutral;negative;neutral;neutral
Entah kenapa, cat Xenia bener-bener gampang bet halus.;neutral;neutral;neutral;negative;neutral;neutral
AC Xenia li biru dlx juga dingin. mantap tuh.;neutral;neutral;neutral;positive;neutral;neutral
Harga yang gampang dibeli sama siapa aja, model dan teknologi modern, perawatan yang gampang dan tentunya hemat bahan bakar dan purna jual yang bagus, semuanya berkualitas bagus. Honda Beat emang bagus banget.;positive;neutral;positive;positive;positive;positive
Desain interior dan bodi masi bagusan fortuner;neutral;neutral;neutral;positive;neutral;neutral
Kalo diliat dari spesifikasi, harga si Ertiga lumayan overpriced;neutral;neutral;neutral;neutral;negative;neutral
Dealer dan bengkel HRV di sana bener-bener pelayanannya bagus plus murah, bro.;neutral;neutral;neutral;neutral;neutral;positive
Mobil keluarga Toyota Calya lcgc Harga Murah yang kagak murah;neutral;neutral;neutral;neutral;positive;neutral
Walaupun secara overall oke, kalo boros bensin, gue males belinya;negative;neutral;positive;neutral;neutral;neutral
Gue udah make Toyota Calya lebih dari setahun di tempat-tempat ekstrim, tapi sampe sekarang gue kagak pernah nemuin masalah dengan mobil ini.;neutral;neutral;positive;neutral;neutral;neutral
Ane percaya, sejauh ini harga jual Toyota lebih mahal dari merk lain;neutral;neutral;neutral;neutral;positive;neutral
Kalo punya Toyota, harus sabar kalo servisnya jelek;neutral;neutral;neutral;neutral;neutral;negative
Honda Vario udah pasti hemat bahan bakar, walaupun itu motor otomatis, tetep aja kuat di kecepatan dibandingin motor dengan cc dan transmisi manual yang sama.;positive;positive;neutral;neutral;neutral;neutral
Wuling Confero adalah mobil yang cocok banget buat perjalanan jauh;neutral;neutral;positive;neutral;neutral;neutral
Suka banget sama Terios yang baru;neutral;neutral;positive;neutral;neutral;neutral
Ane juga pake Honda. Salah satu hal yang paling gue suka dari merek ini adalah kepraktisannya,;neutral;neutral;positive;neutral;neutral;neutral
Pertama kali gue nyoba nyetir Honda Beat yang sporty, gue suka cara dia narik dengan lancar dan pas naik itu gampang.;neutral;positive;neutral;neutral;neutral;neutral
calya ga didesain buat dipake di medan yang sulit, emang lemah!;neutral;neutral;neutral;negative;neutral;neutral
Kalo cuma pake Li buat usaha, pasti nyaman.;neutral;neutral;positive;neutral;neutral;neutral
Bahkan Altis 2010 aja masih bagus, apalagi yang 2014;neutral;neutral;positive;neutral;neutral;neutral
Honda Vario berasa lincah dan tangguh banget buat dibawa gue kemana aja, nerobos tiap tikungan dan sudut Jogja dan sekitarnya tanpa khawatir apa-apa.;neutral;positive;neutral;neutral;neutral;neutral
Kaki Honda HRV berasa lemes. Pegas belakang gampang macet.;neutral;neutral;neutral;negative;neutral;neutral
Sebenernya, alasan gue milih Honda itu karena mesinnya cuma lebih enak buat dikendarain sehari-hari. Lebih cocok dengan selera gue. Jadi perubahan kecil atau perubahan besar, cuma masalah selera;neutral;positive;neutral;neutral;neutral;neutral
Awalnya gue agak ragu untuk beli Wuling Confero L, tapi harganya bersahabat banget, memaksa gue untuk memilih kendaraan ini.;neutral;neutral;neutral;neutral;positive;neutral
Ane tetep milih Avanza karena keandalan mesinnya udah terbukti.;neutral;negative;neutral;neutral;neutral;neutral
Xenia Xi itu sporty. Kalo nyalain AC, suara mesinnya kenceng banget.;neutral;negative;neutral;neutral;neutral;neutral
Kenyamanan Avanza emang unggul banget;neutral;neutral;positive;neutral;neutral;neutral
Ane punya HRV E 2018, tenaganya juga lumayan;neutral;positive;neutral;neutral;neutral;neutral
Karimun Wagon R cocok banget sama kebutuhan & budget lo jadi lo tetep bisa nikmatin dan gak mengganggu kebutuhan lo yang lain;neutral;neutral;neutral;neutral;positive;neutral
Avanza ini punya bodi yang lebih bagus, lebih hemat bahan bakar, banyak sparepart dan murah, lebih luas, gampang dijual, harga jual tinggi, enak dibawa pulang, perawatan murah. Lebih elegan.;positive;neutral;positive;positive;positive;positive
Honda Brio lebih worth it kalo pengen mobil yang asik dikendarain;neutral;neutral;positive;neutral;neutral;neutral
Itu karena Avanza lebih enteng pak.;neutral;neutral;neutral;positive;neutral;neutral
Bukannya Yamaha 125 ZR kagak laku, harganya kayaknya naek di udara;neutral;neutral;neutral;neutral;negative;neutral
Artinya mesin Xenia udah terbukti bagus dan bandel + hemat bahan bakar;positive;positive;neutral;neutral;neutral;neutral
Menurut gue, si Veloz gak secantik itu om, gak ada kenyamanannya dibanding lawannya.;neutral;neutral;negative;neutral;neutral;neutral
Ane punya 50 mobil sewaan Xenia, umurnya udah 3 tahun, belum ada yang meledak di mesin.;neutral;positive;neutral;neutral;neutral;neutral
Iya, itu xpander, fasilitas pelayanannya juga bener-bener bagus;neutral;neutral;neutral;neutral;neutral;positive
Satu hal yang gue suka dari Yamaha adalah layanan purna jualnya;neutral;neutral;neutral;neutral;neutral;positive
Semua produk Nissan laku banget di pasaran.;neutral;neutral;positive;neutral;neutral;neutral
Selama 2 tahun belum ada masalah, Sigra emang solid.;neutral;neutral;positive;neutral;neutral;neutral
Ternyata service di bengkel Yamaha yang asli jelek banget, gue benerin hand starternya sampe bolak-balik dan cuma ngasih duit ke bengkel tapi tetep gak bisa make starter gue.;neutral;neutral;neutral;neutral;neutral;negative
Aduh, gue nyesel ngambil Alya;neutral;neutral;negative;neutral;neutral;neutral
Waktu gue kesana pas hari kerja cuma ada beberapa pekerja, gimana ini layanan dari Daihatsu buat pelanggannya;neutral;neutral;neutral;neutral;neutral;negative
Mesin Avanza juga bertenaga skipper.;neutral;positive;neutral;neutral;neutral;neutral
Altis G 2003 MT, mesinnya berasa kuat banget walaupun di 2.500 rpm. mantap.;neutral;positive;neutral;neutral;neutral;neutral
Bangga banget punya mobil Xenia ini walaupun harganya mahal.;neutral;neutral;positive;neutral;negative;neutral
Pilihan warna Brio lucu-lucu, semua bingung mau pilih yang mana;neutral;neutral;neutral;positive;neutral;neutral
Gue punya motor Vespa sprint, itu motor yang udah gue pake sejak SMA, waktu itu motor paling keren, bagus dan ganteng, harganya bersahabat.;neutral;neutral;positive;neutral;positive;neutral
Si Avanza emang cocok buat dibawa liburan bareng keluarga, nyaman banget;neutral;neutral;positive;neutral;neutral;neutral
Yang Xenia 1000 cc juga bagus, hemat dan lincah hehe;positive;positive;positive;neutral;neutral;neutral
Suspensi Toyota Calya nyaman, muat banyak, inline 4 silinder dengan teknologi VVT-i bisa buat ojek online;neutral;neutral;neutral;positive;neutral;neutral
Gaya ertiga emang bagus banget, tarikannya juga padat dan bandel tapi sayang banget boros banget;negative;positive;neutral;positive;neutral;neutral
Daihatsu Xenia yang paling cocok buat gue dan keluarga, maintenance lebih gampang dan part lebih murah dibanding kendaraan merk lain.;neutral;neutral;positive;positive;neutral;positive
bersumpeh. GTR ganteng bener;neutral;neutral;positive;neutral;neutral;neutral
Buat gue, buat ekonomi kelas menengah bawah, Toyota Calya emang bagus banget buat harganya;neutral;neutral;neutral;neutral;positive;neutral
dengan kualitas yang disediakan & harga yang murah, menurut ane emang worth it banget beli Ignis ini;neutral;neutral;positive;neutral;positive;neutral
Ane lagi pake Avanza Bu baru. Boros bensin haha;negative;neutral;neutral;neutral;neutral;neutral
Cooper kecil tapi mahal;neutral;neutral;neutral;neutral;negative;neutral
Gak pernah bosen pake Vario buat ke kampus.;neutral;neutral;positive;neutral;neutral;neutral
Harganya mahal, tapi fiturnya gitu-gitu aja.;neutral;neutral;neutral;negative;negative;neutral
Kecepatan Yamaha Lexi gila, nariknya juara, tapi ya, nyedot bensin, bro.;negative;positive;neutral;neutral;neutral;neutral
Gue seneng sama Xenia Li. Nggak perlu ngeluarin duit banyak, tapi bagus banget.;neutral;neutral;positive;neutral;positive;neutral
ngegas pelan Honda HRV di jalan ga rata bunyi semua;neutral;negative;neutral;neutral;neutral;neutral
Xenia adalah mobil yang irit oli (cuma 2 liter), irit suku cadang (cuma beberapa suku cadang).;positive;neutral;neutral;positive;neutral;neutral
Bagian dalem mobil Avanza Veloz juga udah dijadiin kabin Avanza Veloz dengan penampilan yang lebih modern dan elegan;neutral;neutral;neutral;positive;neutral;neutral
Jelas banget kalo desain Mazda CX - 3 lebih menarik kalo diliat dari depan, samping dan belakang;neutral;neutral;neutral;positive;neutral;neutral
Sejauh ini belom pernah ada masalah dan mesinnya emang keras dan bandel, bagus buat jalan nanjak di gunung. Pada dasarnya, Avanza yang paling bagus.;neutral;positive;positive;neutral;neutral;neutral
Desain interiornya jauh lebih sederhana, elegan dan berkelas di CX3 daripada CHR yang keliatan rumit;neutral;neutral;neutral;negative;neutral;neutral
nyebelin banget, bengkel Honda yang resmi kagak kompeten... disini malah lebih tau.;neutral;neutral;neutral;neutral;negative;neutral
tarikan jazz lebih baik dari brio;neutral;negative;neutral;neutral;neutral;neutral
Menurut gue, dari sudut pandang mata, Brio itu mewah meskipun fiturnya minim dan gengsinya juga beda;neutral;neutral;positive;negative;neutral;neutral
Kaki HRV kagak keliatan kokoh;neutral;neutral;neutral;negative;neutral;neutral
Ignis adalah mobil kota paling terjangkau dengan poin di atas;neutral;neutral;neutral;neutral;positive;neutral
Secara keseluruhan Avanza bagus kecuali penggunaan bensin yang boros banget;negative;neutral;positive;neutral;neutral;neutral
Cuma ada satu kelemahan, guncangan itu keras, keras, keras, keras;neutral;neutral;neutral;negative;neutral;neutral
mau banyak pesaing baru yang keluar dan model dengan fitur yang lebih baru pun. Avanza ini masih ada di hati gue;neutral;neutral;positive;neutral;neutral;neutral
1:15 bensin di luar kota (hemat banget, kan) lincah di tikungan, tapi tetep standar.;positive;positive;neutral;neutral;neutral;neutral
Suka banget sama Xenia, perawatan murah, pemakaian mudah, onderdil oke.;neutral;neutral;positive;positive;neutral;positive
Kapasitas si Avanza gede bener, volume ruangan kosong;neutral;neutral;neutral;positive;neutral;neutral
Ane punya Avanza G 2008, ane baru beli Juni kemaren dari Tunas Toyota. trus koplingnya agak berat;neutral;neutral;neutral;negative;neutral;neutral
Gue baru ngambil HRV Prestige akhir 2017. Secara keseluruhan enak buat nyetir.;neutral;neutral;positive;neutral;neutral;neutral
Wow, Wuling Formo dari mesin 1200 cc menarik banget dengan harga kompetitif.;neutral;positive;neutral;neutral;negative;neutral
Gue juga seneng banget karena ruang bagasi Avanza bisa muat sampe 5 tas gede yang disusun rapi ke arah atas. Kalopun bawa banyak barang pasti muat;neutral;neutral;neutral;positive;neutral;neutral
Fitur keamanan ini cukup untuk meningkatkan kasta Avanza sehingga setara dengan MPV rendah lainnya yang menggunakan kantong udara dingin duluan;neutral;neutral;neutral;positive;neutral;neutral
Masa konsumsi bensin Toyota Avanza Veloz 12,5 liter per kilometer, bener-bener boros banget;negative;neutral;neutral;neutral;neutral;neutral
Kalo kagak mau boros, kagak usah beli scoopy;negative;neutral;neutral;neutral;neutral;neutral
Kalo terus downshifting dan gaspol, rasanya rpm cuma naik, tapi powernya kosong dan mesin sering ngegelitik.;neutral;negative;neutral;neutral;neutral;neutral
Gue suka Fortuner karena jalannya lebih cepet dari Ertiga yang tenaganya lemah;neutral;negative;neutral;neutral;neutral;neutral
Lebih enak kalo Pajero sederhana dan ga terlalu banyak desain;neutral;neutral;neutral;positive;neutral;neutral
Wuling adalah mobil yang tangguh di segala medan, hemat bahan bakar, desain dinamis dan mewah ditambah dengan harga yang pasti terjangkau;positive;positive;neutral;positive;positive;neutral
xpander ini MPV terbaik buat orang yang nyari mobil MPV canggih;neutral;neutral;positive;neutral;neutral;neutral
Begitu orang-orang ngeliat Xpander, kesannya adalah desainnya keren banget;neutral;neutral;neutral;positive;neutral;neutral
Gimana sih pelayanan di AHAS Terang Anugerah Pamulang makin jelek?;neutral;neutral;neutral;neutral;neutral;negative
Ane pernah pake Avanza keluar kota dari pagi sampe sore, mesin sama AC jalan ga berhenti, tapi ga pelan-pelan;neutral;positive;neutral;positive;neutral;neutral
Kalo mesin dan tampangnya unggul sih Brio Satya. tapi lebih lembut dan lebih murah dari karimun.;neutral;positive;neutral;positive;positive;neutral
